county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k,"County, State",COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
Abbeville,South Carolina,8.238356164383562,8.145013698630137,33.206575342465754,0.07945205479452055,0.09224657534246576,0.3742191780821918,"Abbeville, South Carolina",45001.0,0.117,0.102,0.243,0.166,0.371
Acadia,Louisiana,16.575342465753426,17.40128767123288,28.046657534246577,0.2821917808219178,0.35586301369863016,0.5733424657534247,"Acadia, Louisiana",22001.0,0.122,0.111,0.138,0.265,0.362
Accomack,Virginia,7.8,7.736164383561643,23.93972602739726,0.15342465753424658,0.15556164383561644,0.48142465753424657,"Accomack, Virginia",51001.0,0.001,0.019,0.055,0.1,0.824
Ada,Idaho,139.2,140.6921095890411,29.214438356164386,1.3972602739726028,1.5340547945205478,0.31887671232876713,"Ada, Idaho",16001.0,0.118,0.078,0.084,0.194,0.526
Adair,Iowa,1.9835616438356165,2.0003561643835615,27.961972602739728,0.07397260273972603,0.08463013698630137,1.1927397260273973,"Adair, Iowa",19001.0,0.073,0.128,0.128,0.307,0.364
Adair,Kentucky,7.33972602739726,7.412219178082192,38.599698630136984,0.12602739726027398,0.14293150684931508,0.7427671232876712,"Adair, Kentucky",21001.0,0.076,0.115,0.167,0.243,0.399
Adair,Missouri,7.263013698630137,7.273232876712329,28.694794520547948,0.11506849315068493,0.11263013698630137,0.4445479452054794,"Adair, Missouri",29001.0,0.067,0.098,0.187,0.253,0.395
Adair,Oklahoma,8.986301369863014,9.21627397260274,41.524849315068494,0.13424657534246576,0.09287671232876712,0.4221369863013699,"Adair, Oklahoma",40001.0,0.105,0.068,0.258,0.213,0.356
Adams,Colorado,150.62739726027397,153.2988493150685,29.62764383561644,1.5616438356164384,1.5445479452054793,0.2982191780821918,"Adams, Colorado",8001.0,0.032,0.027,0.071,0.185,0.685
Adams,Idaho,0.8410958904109589,0.9757808219178082,22.712164383561646,0.030136986301369864,0.03863013698630137,0.932,"Adams, Idaho",16003.0,0.094,0.216,0.218,0.218,0.254
Adams,Illinois,26.506849315068493,29.30621917808219,44.78646575342466,0.3178082191780822,0.37630136986301366,0.5742465753424657,"Adams, Illinois",17001.0,0.18,0.092,0.189,0.19,0.35
Adams,Indiana,9.235616438356164,9.308,26.016520547945206,0.1643835616438356,0.14046575342465753,0.39378082191780817,"Adams, Indiana",18001.0,0.136,0.047,0.16,0.348,0.309
Adams,Iowa,1.0246575342465754,1.072191780821918,29.76586301369863,0.024657534246575342,0.017068493150684934,0.4943561643835616,"Adams, Iowa",19003.0,0.148,0.11,0.15,0.311,0.281
Adams,Mississippi,8.64109589041096,8.425013698630137,27.448520547945204,0.18356164383561643,0.22397260273972602,0.7336438356164383,"Adams, Mississippi",28001.0,0.113,0.112,0.131,0.084,0.56
Adams,Nebraska,6.986301369863014,5.853616438356164,18.664109589041097,0.0547945205479452,0.07824657534246576,0.24558904109589041,"Adams, Nebraska",31001.0,0.057,0.128,0.089,0.291,0.435
Adams,North Dakota,0.7726027397260274,0.813123287671233,36.6893698630137,0.01643835616438356,0.02347945205479452,1.0550958904109589,"Adams, North Dakota",38001.0,0.219,0.166,0.189,0.233,0.193
Adams,Ohio,9.975342465753425,10.035643835616439,36.232,0.27945205479452057,0.23358904109589043,0.8414520547945206,"Adams, Ohio",39001.0,0.074,0.116,0.149,0.222,0.439
Adams,Pennsylvania,37.76438356164383,36.76079452054795,35.68687671232877,0.5095890410958904,0.574027397260274,0.5566301369863014,"Adams, Pennsylvania",42001.0,0.039,0.034,0.083,0.238,0.606
Adams,Washington,4.917808219178082,5.048849315068493,25.266027397260274,0.052054794520547946,0.07189041095890411,0.3610958904109589,"Adams, Washington",53001.0,0.077,0.051,0.072,0.076,0.724
